epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8357.14,0.51562,0.31355,0.81376,0.79606,0.67073,0.7221,0.5075,0.87935,0.70452,0.9816,0.000615781,0.000615781,0.000615781
43,8555.49,0.55858,0.32116,0.81922,0.81503,0.66059,0.73158,0.52135,0.84615,0.70351,0.96247,0.000600313,0.000600313,0.000600313
44,8756.02,0.50216,0.30101,0.80812,0.83907,0.64458,0.72179,0.51591,0.84936,0.73301,0.96888,0.000584844,0.000584844,0.000584844
45,8956.44,0.44096,0.28468,0.79952,0.80083,0.66772,0.72193,0.51432,0.84818,0.71094,0.9711,0.000569375,0.000569375,0.000569375
46,9152.79,0.46086,0.29276,0.80259,0.79676,0.67662,0.72708,0.51688,0.84895,0.70555,0.97071,0.000553906,0.000553906,0.000553906
47,9340.18,0.46076,0.29151,0.80182,0.78537,0.67444,0.72035,0.51233,0.85188,0.71386,0.97188,0.000538438,0.000538438,0.000538438
48,9518.69,0.48136,0.29343,0.80587,0.80567,0.65022,0.71559,0.51136,0.8512,0.72871,0.96817,0.000522969,0.000522969,0.000522969
49,9695.07,0.46977,0.28765,0.80261,0.80416,0.66041,0.72101,0.51584,0.85505,0.71903,0.97495,0.0005075,0.0005075,0.0005075
50,9858.79,0.40636,0.26985,0.79309,0.80435,0.65465,0.71796,0.51192,0.85513,0.72351,0.97875,0.000492031,0.000492031,0.000492031
51,10015.1,0.41806,0.27182,0.79476,0.82961,0.6539,0.72622,0.51644,0.84994,0.69604,0.97383,0.000476562,0.000476562,0.000476562
52,10172.2,0.45687,0.27964,0.79998,0.83117,0.65237,0.72287,0.51806,0.84631,0.69803,0.97212,0.000461094,0.000461094,0.000461094
53,10326.6,0.50174,0.28955,0.80628,0.81109,0.67104,0.71978,0.5126,0.84775,0.69893,0.96979,0.000445625,0.000445625,0.000445625
54,10484.2,0.47139,0.2821,0.80118,0.79731,0.67162,0.7202,0.51429,0.84835,0.70404,0.9725,0.000430156,0.000430156,0.000430156
55,10637.1,0.4183,0.26658,0.79233,0.81031,0.66829,0.72604,0.51481,0.85104,0.6933,0.97728,0.000414688,0.000414688,0.000414688
56,10792,0.4639,0.2778,0.7988,0.80193,0.679,0.72222,0.51307,0.84988,0.69577,0.97533,0.000399219,0.000399219,0.000399219
57,10945.4,0.44796,0.27188,0.79683,0.80879,0.66706,0.7239,0.51168,0.85343,0.70312,0.97707,0.00038375,0.00038375,0.00038375
58,11103.4,0.40942,0.26033,0.79153,0.8338,0.65852,0.7211,0.51296,0.85219,0.71135,0.97569,0.000368281,0.000368281,0.000368281
59,11261.8,0.35175,0.24205,0.78383,0.79331,0.67085,0.72061,0.51485,0.84856,0.70383,0.98113,0.000352812,0.000352812,0.000352812
60,11417.2,0.35932,0.24507,0.78499,0.8315,0.65423,0.71846,0.51484,0.84914,0.69925,0.98147,0.000337344,0.000337344,0.000337344
61,11575,0.36399,0.24561,0.78564,0.79569,0.68272,0.72382,0.5159,0.8455,0.69891,0.97938,0.000321875,0.000321875,0.000321875
62,11733.5,0.37787,0.24658,0.78648,0.80838,0.66673,0.72175,0.51658,0.84828,0.7014,0.98302,0.000306406,0.000306406,0.000306406
63,11884.9,0.39356,0.24837,0.78733,0.80038,0.67248,0.72077,0.51663,0.84464,0.69953,0.98096,0.000290937,0.000290937,0.000290937
64,12036.6,0.36834,0.24001,0.78387,0.82238,0.66343,0.72388,0.51557,0.84651,0.70092,0.98233,0.000275469,0.000275469,0.000275469
65,12189.8,0.32265,0.22551,0.77985,0.8125,0.6685,0.72217,0.51633,0.84825,0.70633,0.98345,0.00026,0.00026,0.00026
66,12343.2,0.33904,0.23141,0.78093,0.79003,0.68004,0.71912,0.51416,0.84649,0.70505,0.98451,0.000244531,0.000244531,0.000244531
67,12493.3,0.38195,0.24111,0.78525,0.80447,0.66868,0.72074,0.51422,0.85228,0.70602,0.98604,0.000229063,0.000229063,0.000229063
68,12648.7,0.3393,0.22808,0.78089,0.81857,0.65984,0.72003,0.51475,0.85152,0.70928,0.98597,0.000213594,0.000213594,0.000213594
69,12819.6,0.2937,0.21531,0.77649,0.80468,0.66389,0.71852,0.51368,0.85114,0.71546,0.98737,0.000198125,0.000198125,0.000198125
70,12986.7,0.30221,0.21549,0.77639,0.80535,0.66218,0.72012,0.5141,0.85143,0.70776,0.98663,0.000182656,0.000182656,0.000182656
71,13160.1,0.3253,0.223,0.77912,0.79883,0.6623,0.71674,0.51228,0.85117,0.71096,0.98649,0.000167188,0.000167188,0.000167188
72,13314.2,0.32603,0.22333,0.77937,0.80742,0.65575,0.71615,0.51311,0.85136,0.7093,0.98657,0.000151719,0.000151719,0.000151719
73,13466.2,0.31319,0.21848,0.77694,0.83287,0.64488,0.71669,0.51162,0.85275,0.71371,0.98773,0.00013625,0.00013625,0.00013625
74,13625,0.30285,0.21169,0.77508,0.8154,0.65558,0.71651,0.5101,0.85225,0.7154,0.98989,0.000120781,0.000120781,0.000120781
75,13786.4,0.29305,0.20907,0.77492,0.81338,0.6529,0.71247,0.5081,0.8505,0.71828,0.9884,0.000105312,0.000105312,0.000105312
76,13943.2,0.29131,0.20715,0.7747,0.8407,0.63477,0.71192,0.5085,0.85002,0.71733,0.98799,8.98437e-05,8.98437e-05,8.98437e-05
77,14110.6,0.28053,0.20515,0.77492,0.8264,0.64722,0.71492,0.50984,0.85126,0.71687,0.98863,7.4375e-05,7.4375e-05,7.4375e-05
78,14280.7,0.26424,0.19851,0.77291,0.8145,0.65175,0.7132,0.509,0.85165,0.72018,0.98961,5.89062e-05,5.89062e-05,5.89062e-05
79,14431.8,0.24865,0.19266,0.77159,0.82502,0.64856,0.71474,0.51098,0.85242,0.72297,0.99091,4.34375e-05,4.34375e-05,4.34375e-05
80,14588.2,0.2424,0.18867,0.77052,0.82312,0.64644,0.7148,0.51138,0.85135,0.72403,0.99109,2.79687e-05,2.79687e-05,2.79687e-05
